EA,CLS,SENT,ASP
LAPTOP#GENERAL,1,this computer is absolutely amazing ! ! !,general
BATTERY#OPERATION_PERFORMANCE,1,10 plus hours of battery ...,performance
CPU#OPERATION_PERFORMANCE,1,super fast processor and really nice graphics card..,performance
GRAPHICS#GENERAL,1,super fast processor and really nice graphics card..,general
HARD_DISC#DESIGN_FEATURES,1,and plenty of storage with 250 gb ( though i will upgrade this and the ram.. ),design
LAPTOP#OPERATION_PERFORMANCE,1,this computer is really fast and i 'm shocked as to how easy it is to get used to ...,performance
LAPTOP#USABILITY,1,this computer is really fast and i 'm shocked as to how easy it is to get used to ...,usability
LAPTOP#USABILITY,1,i 've only had mine a day but i 'm already used to it ...,usability
LAPTOP#PORTABILITY,1,get this computer for portability and fast processing ! ! !,portability
CPU#OPERATION_PERFORMANCE,1,get this computer for portability and fast processing ! ! !,performance
LAPTOP#GENERAL,1,the laptop was really good and it goes really fast just the way i thought it would of run .,general
LAPTOP#OPERATION_PERFORMANCE,1,the laptop was really good and it goes really fast just the way i thought it would of run .,performance
LAPTOP#GENERAL,1,i would really recommend to any person out there to get this laptop cause its really worth it .,general
LAPTOP#PRICE,1,and its really cheap and you wont regret buying it .,price
LAPTOP#GENERAL,1,and its really cheap and you wont regret buying it .,general
LAPTOP#PORTABILITY,1,"as a computer science student in college , i find that the portability , longevity , and ease of use of this computer make me ( shockingly ) want to do homework more ;",portability
LAPTOP#QUALITY,1,"as a computer science student in college , i find that the portability , longevity , and ease of use of this computer make me ( shockingly ) want to do homework more ;",quality
LAPTOP#USABILITY,1,"as a computer science student in college , i find that the portability , longevity , and ease of use of this computer make me ( shockingly ) want to do homework more ;",usability
LAPTOP#DESIGN_FEATURES,1,"without a big ol ' clunky machine in my backpack , i feel like i can do programming homework anywhere .",design
LAPTOP#PORTABILITY,1,"without a big ol ' clunky machine in my backpack , i feel like i can do programming homework anywhere .",portability
LAPTOP#MISCELLANEOUS,1,"without a big ol ' clunky machine in my backpack , i feel like i can do programming homework anywhere .",miscellaneous
LAPTOP#MISCELLANEOUS,1,i highly recommend this computer for students looking for a solid machine to get them through college .,miscellaneous
LAPTOP#QUALITY,1,i highly recommend this computer for students looking for a solid machine to get them through college .,quality
OS#DESIGN_FEATURES,1,"a great feature is the spotlight search : one can search for documents by simply typing a keyword , rather than parsing tens of file folders for a document .",design
LAPTOP#GENERAL,-1,oh my goodness-i am not a happy camper .,general
LAPTOP#DESIGN_FEATURES,-1,my hp is very heavy .,design
LAPTOP#PORTABILITY,-1,not easy to carry .,portability
BATTERY#QUALITY,-1,the battery has never worked well .,quality
BATTERY#OPERATION_PERFORMANCE,-1,the battery has never worked well .,performance
BATTERY#QUALITY,-1,the battery gets so hot it is scary .,quality
SUPPORT#QUALITY,-1,"yet , hp wo n't do anything about the problem .",quality
SUPPORT#QUALITY,-1,i returned the computer to hp and they kept it for 3 months .,quality
SUPPORT#QUALITY,-1,when i got the computer back and realizwed it still was not correct hp told me it was out of warranty and now it was my problem .,quality
LAPTOP#GENERAL,-1,"so , you can imagine how unhappy i am with this item .",general
LAPTOP#QUALITY,-1,currently if i use the laptop i ca n't sit it on my lap because it will burn my legs .,quality
SUPPORT#QUALITY,-1,"well , they do n't care a bunch .",quality
SUPPORT#QUALITY,-1,"but , at the same time they ( the company ) would not and could not do anything about my problem .",quality
LAPTOP#GENERAL,-1,i would say if you want to buy one of these machines be careful .,general
COMPANY#GENERAL,-1,"and , if you are going to deal with hp be careful .",general
COMPANY#GENERAL,-1,"in my house , hp is a nasty word .",general
LAPTOP#GENERAL,1,"since i purchased my toshiba netbook , i have been very pleased with it , i have a laptob and a desktop .",general
LAPTOP#PORTABILITY,1,the netbook is easier for me to take to bed and carry around with me .,portability
DISPLAY#USABILITY,0,"the screen takes some getting use to , because it is smaller than the laptop .",usability
DISPLAY#DESIGN_FEATURES,0,"the screen takes some getting use to , because it is smaller than the laptop .",design
LAPTOP#GENERAL,1,i have not have any problems .,general
LAPTOP#GENERAL,1,"the notebook pc , toshiba qosmio is the best gift my father could have ever gotten me .",general
LAPTOP#QUALITY,1,he gave me this pc about 3 years ago and up to this point im still sitting here using it .,quality
LAPTOP#QUALITY,1,its still going .,quality
LAPTOP#QUALITY,1,it is in the best condition and has a really high quality .,quality
LAPTOP#GENERAL,1,this is something i would deffinately reccomend to someone .,general
LAPTOP#GENERAL,1,you will not regret buying such a great thing like this !,general
LAPTOP#GENERAL,1,it ca n't get any better .,general
LAPTOP#GENERAL,1,"waited on getting this computer , but it has been a great change .",general
LAPTOP#USABILITY,1,ease of use is just one of the benefits i love about my mac .,usability
LAPTOP#GENERAL,1,this laptop meets every expectation and windows 7 is great !,general
OS#GENERAL,1,this laptop meets every expectation and windows 7 is great !,general
LAPTOP#OPERATION_PERFORMANCE,1,"it 's fast , it 's easy easy easy to set up , easy to hook to my wireless network .",performance
LAPTOP#USABILITY,1,"it 's fast , it 's easy easy easy to set up , easy to hook to my wireless network .",usability
LAPTOP#CONNECTIVITY,1,"it 's fast , it 's easy easy easy to set up , easy to hook to my wireless network .",connectivity
LAPTOP#CONNECTIVITY,1,it 's even easy to hook up to other wireless networks .,connectivity
BATTERY#OPERATION_PERFORMANCE,0,the battery does n't last long but i 'm sure an upgrade battery would solve that problem .,performance
BATTERY#OPERATION_PERFORMANCE,1,i do n't use my laptop in a way though that needs a long battery life so it 's perfect for me .,performance
LAPTOP#GENERAL,1,"most everything is fine with this machine : speed , capacity , build .",general
LAPTOP#OPERATION_PERFORMANCE,1,"most everything is fine with this machine : speed , capacity , build .",performance
HARD_DISC#DESIGN_FEATURES,1,"most everything is fine with this machine : speed , capacity , build .",design
LAPTOP#QUALITY,1,"most everything is fine with this machine : speed , capacity , build .",quality
DISPLAY#QUALITY,-1,"the only thing i do n't understand is that the resolution of the screen is n't high enough for some pages , such as yahoo ! mail .",quality
LAPTOP#PRICE,1,i bought it for really cheap also and it 's amazing .,price
LAPTOP#GENERAL,1,i bought it for really cheap also and it 's amazing .,general
LAPTOP#MISCELLANEOUS,1,recommended to people as their first laptop .,miscellaneous
LAPTOP#OPERATION_PERFORMANCE,1,"plain and simple , it ( laptop ) runs great and loads fast .",performance
LAPTOP#PORTABILITY,1,"easy to carry , can be taken anywhere , can be hooked up to printers , headsets .",portability
LAPTOP#CONNECTIVITY,1,"easy to carry , can be taken anywhere , can be hooked up to printers , headsets .",connectivity
LAPTOP#DESIGN_FEATURES,1,i 'm already hooked on the sleek look and dependability that this laptop has shown .,design
LAPTOP#QUALITY,1,i 'm already hooked on the sleek look and dependability that this laptop has shown .,quality
OS#USABILITY,0,"being a pc user my whole life , it 's taking a bit of time to adapt to the os of a mac but i 'm finding my way around .",usability
LAPTOP#DESIGN_FEATURES,1,the unibody design is edgy and durable .,design
LAPTOP#QUALITY,1,the unibody design is edgy and durable .,quality
DISPLAY#DESIGN_FEATURES,1,the led backlit display makes my pictures pop so much more .,design
MOUSE#DESIGN_FEATURES,1,i 'm learning the finger options for the mousepad that allow for quicker browsing of web pages .,design
LAPTOP#USABILITY,1,i 'm learning the finger options for the mousepad that allow for quicker browsing of web pages .,usability
LAPTOP#DESIGN_FEATURES,1,a key contributor that led me to mac is the art aspect .,design
SOFTWARE#MISCELLANEOUS,1,they have developed excellent proprietary software for editing video and pictures and i 'm looking forward to utilizing these tools on the regular .,miscellaneous
LAPTOP#GENERAL,1,i 'm excited to learn more about what this powerful machine has to offer and encourage others to do the same .,general
LAPTOP#OPERATION_PERFORMANCE,1,i 'm excited to learn more about what this powerful machine has to offer and encourage others to do the same .,performance
LAPTOP#PRICE,-1,it 's more expensive but well worth it in the long run .,price
LAPTOP#GENERAL,1,it 's more expensive but well worth it in the long run .,general
LAPTOP#GENERAL,1,"great product , very easy to use and great graphics .",general
LAPTOP#USABILITY,1,"great product , very easy to use and great graphics .",usability
GRAPHICS#GENERAL,1,"great product , very easy to use and great graphics .",general
KEYBOARD#DESIGN_FEATURES,-1,"one drawback , i wish the keys were backlit .",design
LAPTOP#GENERAL,1,"i 'm glad i bought this laptop , it was worth the few ( $ 100 ) extra dollars .",general
LAPTOP#PRICE,0,"i 'm glad i bought this laptop , it was worth the few ( $ 100 ) extra dollars .",price
LAPTOP#DESIGN_FEATURES,1,it had most of the features and all of the power that i wanted to replace my desktop machine .,design
LAPTOP#OPERATION_PERFORMANCE,1,it had most of the features and all of the power that i wanted to replace my desktop machine .,performance
LAPTOP#DESIGN_FEATURES,0,i was n't really as concerned about portability ( it 's a very large laptop ) but it 's not hard to move around or take on a trip which was a pleasant surprise .,design
LAPTOP#PORTABILITY,1,i was n't really as concerned about portability ( it 's a very large laptop ) but it 's not hard to move around or take on a trip which was a pleasant surprise .,portability
LAPTOP#GENERAL,1,i 'm very happy with this machine !,general
LAPTOP#DESIGN_FEATURES,1,"i love the size , keyboard , the functions .",design
KEYBOARD#GENERAL,1,"i love the size , keyboard , the functions .",general
LAPTOP#OPERATION_PERFORMANCE,1,"i love the size , keyboard , the functions .",performance
LAPTOP#GENERAL,1,i do n't really have a complaint .,general
LAPTOP#USABILITY,1,"it is easy to use , good quality and good price .",usability
LAPTOP#QUALITY,1,"it is easy to use , good quality and good price .",quality
LAPTOP#PRICE,1,"it is easy to use , good quality and good price .",price
LAPTOP#GENERAL,1,perfect trifecta !,general
LAPTOP#GENERAL,1,i would recommend this product .,general
SOFTWARE#GENERAL,-1,the salesman talked us into this computer away from another we were looking at and we have had nothing but problems with software problems and just not happy with it .,general
LAPTOP#GENERAL,-1,the salesman talked us into this computer away from another we were looking at and we have had nothing but problems with software problems and just not happy with it .,general
SUPPORT#QUALITY,0,this is my first dell i heard their customer service was lacking and that they were working on improving it !,quality
OPTICAL_DRIVES#QUALITY,-1,the dvd burner broke after burning 3 dvd 'd during that time !,quality
SUPPORT#QUALITY,-1,they sent me a replacement part and without informing me are requiring that i return it within 15 days or contact them and let them know the broken part will be returned later .,quality
SUPPORT#QUALITY,-1,if this is an improvement in customer service then i would hate too see what it was before !,quality
SUPPORT#QUALITY,-1,i spoke to 4 different people and was told they needed to transfer me to a 5th person !,quality
SUPPORT#QUALITY,-1,needless to say i told them no and have a nice day and hung up !,quality
LAPTOP#GENERAL,-1,i can guarantee this will be the last dell i will ever purchase !,general
COMPANY#GENERAL,-1,i can guarantee this will be the last dell i will ever purchase !,general
LAPTOP#QUALITY,-1,breaking within 1 year of purchase and speaking to 4+ people to report the damaged part will be returned late !,quality
SUPPORT#QUALITY,-1,breaking within 1 year of purchase and speaking to 4+ people to report the damaged part will be returned late !,quality
COMPANY#GENERAL,-1,i do not recommend this company or their products ! ! ! !,general
LAPTOP#GENERAL,1,"so far , a great product .",general
LAPTOP#PRICE,-1,"high price tag , however .",price
LAPTOP#USABILITY,0,still trying to learn how to use it .,usability
LAPTOP#GENERAL,-1,it is the worst computer dell ever made .,general
LAPTOP#QUALITY,-1,it is hard to fix and makes it a hassle to own one .,quality
LAPTOP#GENERAL,-1,it is hard to fix and makes it a hassle to own one .,general
LAPTOP#QUALITY,-1,breaks easily .,quality
GRAPHICS#QUALITY,1,only good thing is the graphics quality .,quality
LAPTOP#DESIGN_FEATURES,1,there are so many wonderful features and benefits to the new macbook !,design
